Hourly measurement data supplied by UK-air on 10/07/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Sheffield Tinsley",,,,,,,,,
Latitude,,53.410580,,,,,,,,,,
Longitude,,-1.396139,,,,,,,,,,
Site Type,,Urban Background,,,,,,,,,,
Zone,,Yorkshire & Humberside,,,,,,,,,,
Agglomeration,,Sheffield Urban Area,,,,,,,,,,
Local Authority,,"Sheffield",,,,,,,,,,
Date,Time,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2022-02-01,01:00:00,9.42815,V ugm-3,No data,,279,N deg,7.6,N ms-1,6.7,N degC
2022-02-01,02:00:00,4.18209,V ugm-3,No data,,281.2,N deg,7.9,N ms-1,7,N degC
2022-02-01,03:00:00,4.0402,V ugm-3,No data,,289.3,N deg,8.2,N ms-1,7.6,N degC
2022-02-01,04:00:00,4.04054,V ugm-3,No data,,298.6,N deg,8.8,N ms-1,8.4,N degC
2022-02-01,05:00:00,3.45515,V ugm-3,No data,,304.1,N deg,10.1,N ms-1,8.7,N degC
2022-02-01,06:00:00,10.68537,V ugm-3,No data,,306.8,N deg,11,N ms-1,9,N degC
2022-02-01,07:00:00,20.94434,V ugm-3,No data,,309.2,N deg,11.1,N ms-1,9.1,N degC
2022-02-01,08:00:00,33.33086,V ugm-3,No data,,310.2,N deg,11.1,N ms-1,8.9,N degC
2022-02-01,09:00:00,24.29324,V ugm-3,No data,,311,N deg,11.1,N ms-1,8.7,N degC
2022-02-01,10:00:00,14.88398,V ugm-3,No data,,312.1,N deg,11.2,N ms-1,8.7,N degC
2022-02-01,11:00:00,14.98951,V ugm-3,No data,,311.4,N deg,11.5,N ms-1,8.9,N degC
2022-02-01,12:00:00,15.893,V ugm-3,No data,,311.8,N deg,11.6,N ms-1,9,N degC
2022-02-01,13:00:00,14.99023,V ugm-3,No data,,312.6,N deg,11.4,N ms-1,8.8,N degC
2022-02-01,14:00:00,14.193,V ugm-3,No data,,312.2,N deg,11.3,N ms-1,8.7,N degC
2022-02-01,15:00:00,14.14009,V ugm-3,No data,,311.5,N deg,10.9,N ms-1,8.4,N degC
2022-02-01,16:00:00,14.99052,V ugm-3,No data,,309.9,N deg,10,N ms-1,7.9,N degC
2022-02-01,17:00:00,20.83803,V ugm-3,No data,,309.8,N deg,8.9,N ms-1,7.5,N degC
2022-02-01,18:00:00,19.82818,V ugm-3,No data,,308.6,N deg,8.5,N ms-1,7.3,N degC
2022-02-01,19:00:00,15.52352,V ugm-3,No data,,307,N deg,7.4,N ms-1,7.2,N degC
2022-02-01,20:00:00,15.47087,V ugm-3,No data,,304.8,N deg,6.9,N ms-1,7.1,N degC
2022-02-01,21:00:00,12.86568,V ugm-3,No data,,303.6,N deg,6.5,N ms-1,7,N degC
2022-02-01,22:00:00,13.18482,V ugm-3,No data,,299.3,N deg,5.8,N ms-1,6.9,N degC
2022-02-01,23:00:00,16.42709,V ugm-3,No data,,289,N deg,4.7,N ms-1,6.7,N degC
2022-02-01,24:00:00,6.43281,V ugm-3,No data,,286.9,N deg,5.2,N ms-1,7.6,N degC
2022-02-02,01:00:00,5.60218,V ugm-3,No data,,294.2,N deg,5.9,N ms-1,9.1,N degC
2022-02-02,02:00:00,10.42423,V ugm-3,No data,,299.1,N deg,5.3,N ms-1,9.2,N degC
2022-02-02,03:00:00,6.96734,V ugm-3,No data,,300.2,N deg,5.6,N ms-1,9.5,N degC
2022-02-02,04:00:00,2.76537,V ugm-3,No data,,297.9,N deg,5.4,N ms-1,9.5,N degC
2022-02-02,05:00:00,6.80658,V ugm-3,No data,,293.3,N deg,5.7,N ms-1,9.4,N degC
2022-02-02,06:00:00,10.90113,V ugm-3,No data,,296.5,N deg,6.1,N ms-1,9.3,N degC
2022-02-02,07:00:00,18.87662,V ugm-3,No data,,298.1,N deg,6.4,N ms-1,9.1,N degC
2022-02-02,08:00:00,23.7507,V ugm-3,No data,,298.9,N deg,6.4,N ms-1,9,N degC
2022-02-02,09:00:00,No data,V ugm-3,No data,,298.1,N deg,6.4,N ms-1,8.7,N degC
2022-02-02,10:00:00,27.4389,V ugm-3,No data,,297.6,N deg,6.5,N ms-1,8.8,N degC
2022-02-02,11:00:00,25.47083,V ugm-3,No data,,300.9,N deg,6.8,N ms-1,9,N degC
2022-02-02,12:00:00,26.79983,V ugm-3,No data,,300.2,N deg,6.3,N ms-1,8.9,N degC
2022-02-02,13:00:00,33.44891,V ugm-3,No data,,296,N deg,5.5,N ms-1,8.7,N degC
2022-02-02,14:00:00,40.0427,V ugm-3,No data,,287.7,N deg,4.9,N ms-1,8.6,N degC
2022-02-02,15:00:00,43.28605,V ugm-3,No data,,290,N deg,5.2,N ms-1,8.4,N degC
2022-02-02,16:00:00,50.72564,V ugm-3,No data,,275.5,N deg,4.5,N ms-1,8.2,N degC
2022-02-02,17:00:00,55.3538,V ugm-3,No data,,276,N deg,3.6,N ms-1,7.6,N degC
2022-02-02,18:00:00,48.60508,V ugm-3,No data,,277.7,N deg,4.2,N ms-1,7.5,N degC
2022-02-02,19:00:00,55.57156,V ugm-3,No data,,272.3,N deg,4.7,N ms-1,7.5,N degC
2022-02-02,20:00:00,46.16305,V ugm-3,No data,,273.4,N deg,5.3,N ms-1,7.2,N degC
2022-02-02,21:00:00,24.30513,V ugm-3,No data,,273.9,N deg,5.3,N ms-1,6.8,N degC
2022-02-02,22:00:00,27.5497,V ugm-3,No data,,270.7,N deg,5,N ms-1,6.6,N degC
2022-02-02,23:00:00,29.78327,V ugm-3,No data,,257.8,N deg,4.2,N ms-1,6.7,N degC
2022-02-02,24:00:00,12.28582,V ugm-3,No data,,265.2,N deg,5.3,N ms-1,6.6,N degC
2022-02-03,01:00:00,9.86209,V ugm-3,No data,,244.4,N deg,3.4,N ms-1,6.4,N degC
2022-02-03,02:00:00,10.14605,V ugm-3,No data,,244.1,N deg,3.3,N ms-1,6.3,N degC
2022-02-03,03:00:00,8.51393,V ugm-3,No data,,244.4,N deg,3.2,N ms-1,5.6,N degC
2022-02-03,04:00:00,11.22784,V ugm-3,No data,,245.3,N deg,3.3,N ms-1,5.1,N degC
2022-02-03,05:00:00,21.49797,V ugm-3,No data,,253.2,N deg,3.1,N ms-1,5,N degC
2022-02-03,06:00:00,34.53296,V ugm-3,No data,,251.7,N deg,3.3,N ms-1,6.3,N degC
2022-02-03,07:00:00,44.58695,V ugm-3,No data,,249,N deg,3.4,N ms-1,6.8,N degC
2022-02-03,08:00:00,43.09616,V ugm-3,No data,,251.1,N deg,4.7,N ms-1,6.4,N degC
2022-02-03,09:00:00,54.47903,V ugm-3,No data,,260.9,N deg,5.8,N ms-1,7,N degC
2022-02-03,10:00:00,50.91961,V ugm-3,No data,,267.7,N deg,6.4,N ms-1,8.3,N degC
2022-02-03,11:00:00,37.83008,V ugm-3,No data,,265.3,N deg,5.7,N ms-1,8.7,N degC
2022-02-03,12:00:00,38.73492,V ugm-3,No data,,267.3,N deg,5,N ms-1,8.2,N degC
2022-02-03,13:00:00,30.32707,V ugm-3,No data,,261,N deg,4.8,N ms-1,7.7,N degC
2022-02-03,14:00:00,35.64777,V ugm-3,No data,,259.1,N deg,3.8,N ms-1,8.1,N degC
2022-02-03,15:00:00,41.44698,V ugm-3,No data,,246.1,N deg,3.2,N ms-1,8.2,N degC
2022-02-03,16:00:00,36.81908,V ugm-3,No data,,252.2,N deg,4,N ms-1,7.4,N degC
2022-02-03,17:00:00,40.96918,V ugm-3,No data,,256.2,N deg,5.1,N ms-1,6.7,N degC
2022-02-03,18:00:00,36.92659,V ugm-3,No data,,259,N deg,6.6,N ms-1,6.9,N degC
