Hourly measurement data supplied by UK-air on 10/07/2024
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
Site Name,,"Sheffield Barnsley Road",,,,,,,,,
Latitude,,53.404950,,,,,,,,,,
Longitude,,-1.455815,,,,,,,,,,
Site Type,,Urban Traffic,,,,,,,,,,
Zone,,Yorkshire & Humberside,,,,,,,,,,
Agglomeration,,Sheffield Urban Area,,,,,,,,,,
Local Authority,,"Sheffield",,,,,,,,,,
Date,Time,"Nitrogen dioxide",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Modelled Wind Direction",Status,"Modelled Wind Speed",Status,"Modelled Temperature",Status
2022-02-01,01:00:00,11.76708,V ugm-3,5,V ugm-3 (BAM),279,N deg,7.6,N ms-1,6.7,N degC
2022-02-01,02:00:00,4.24161,V ugm-3,4,V ugm-3 (BAM),281.2,N deg,7.9,N ms-1,7,N degC
2022-02-01,03:00:00,4.32538,V ugm-3,2,V ugm-3 (BAM),289.3,N deg,8.2,N ms-1,7.6,N degC
2022-02-01,04:00:00,3.18189,V ugm-3,3,V ugm-3 (BAM),298.6,N deg,8.8,N ms-1,8.4,N degC
2022-02-01,05:00:00,4.27099,V ugm-3,1,V ugm-3 (BAM),304.1,N deg,10.1,N ms-1,8.7,N degC
2022-02-01,06:00:00,10.57225,V ugm-3,0,V ugm-3 (BAM),306.8,N deg,11,N ms-1,9,N degC
2022-02-01,07:00:00,24.08617,V ugm-3,1,V ugm-3 (BAM),309.2,N deg,11.1,N ms-1,9.1,N degC
2022-02-01,08:00:00,26.22003,V ugm-3,3,V ugm-3 (BAM),310.2,N deg,11.1,N ms-1,8.9,N degC
2022-02-01,09:00:00,29.96125,V ugm-3,2,V ugm-3 (BAM),311,N deg,11.1,N ms-1,8.7,N degC
2022-02-01,10:00:00,18.64191,V ugm-3,1,V ugm-3 (BAM),312.1,N deg,11.2,N ms-1,8.7,N degC
2022-02-01,11:00:00,20.74925,V ugm-3,4,V ugm-3 (BAM),311.4,N deg,11.5,N ms-1,8.9,N degC
2022-02-01,12:00:00,15.57962,V ugm-3,7,V ugm-3 (BAM),311.8,N deg,11.6,N ms-1,9,N degC
2022-02-01,13:00:00,14.7945,V ugm-3,7,V ugm-3 (BAM),312.6,N deg,11.4,N ms-1,8.8,N degC
2022-02-01,14:00:00,16.84915,V ugm-3,5,V ugm-3 (BAM),312.2,N deg,11.3,N ms-1,8.7,N degC
2022-02-01,15:00:00,16.09393,V ugm-3,7,V ugm-3 (BAM),311.5,N deg,10.9,N ms-1,8.4,N degC
